"store","upc_plu","price","price_type","price_priority","start_date","end_date"
"JA01      ","701234567890  ",6.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","701234567890  ",6.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","701234567890  ",6.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","701234567891  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","701234567891  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","701234567891  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","701234567892  ",2.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","701234567892  ",2.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","701234567892  ",2.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","702345678901  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","702345678901  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","702345678901  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","702345678902  ",4.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","702345678902  ",4.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","702345678902  ",4.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","702345678903  ",5.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","702345678903  ",5.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","702345678903  ",5.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","703456789012  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","703456789012  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","703456789012  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","703456789013  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","703456789013  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","703456789013  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","703456789014  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","703456789014  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","703456789014  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","704567890123  ",0.6900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","704567890123  ",0.6900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","704567890123  ",0.6900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","704567890124  ",1.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","704567890124  ",1.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","704567890124  ",1.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","704567890125  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","704567890125  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","704567890125  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","705678901234  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","705678901234  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","705678901234  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","705678901235  ",1.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","705678901235  ",1.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","705678901235  ",1.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","705678901236  ",2.2900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","705678901236  ",2.2900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","705678901236  ",2.2900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","706789012345  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","706789012345  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","706789012345  ",4.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","706789012346  ",2.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","706789012346  ",2.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","706789012346  ",2.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","707890123456  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","707890123456  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","707890123456  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","707890123457  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","707890123457  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","707890123457  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","708901234567  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","708901234567  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","708901234567  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","708901234568  ",4.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","708901234568  ",4.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","708901234568  ",4.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","709012345678  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","709012345678  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","709012345678  ",2.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","709012345679  ",6.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","709012345679  ",6.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","709012345679  ",6.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","710123456789  ",5.9900,"AD",35.000000,2026-01-25 08:00:00.000000,2026-02-01 23:59:59.000000
"JA02      ","710123456789  ",5.9900,"AD",35.000000,2026-01-25 08:00:00.000000,2026-02-01 23:59:59.000000
"JA03      ","710123456789  ",5.9900,"AD",35.000000,2026-01-25 08:00:00.000000,2026-02-01 23:59:59.000000
"JA01      ","721234567890  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","721234567890  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","721234567890  ",3.9900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA01      ","721234567891  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA02      ","721234567891  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
"JA03      ","721234567891  ",3.4900,"REG",1.000000,2026-01-25 08:00:00.000000,
